slc,soilType,claySurface,claySubsurface,sandSurface,sandSubsurface,siltSurface,siltSubsurface,cfSurface,cfSubsurface,awhcSurface,awhcSubsurface,ppe,ocSurfacePerc,surfacePH,subsurfacePH,surfaceEC,subsurfaceEC,sarSurface,sarSubsurface,E_DEPTH,bd,egdd,a,surfaceFibre,subsurfaceFibre,organicDepth,waterTableDepth,masterHorizon,substrateCF,substrateSilt,substrateClay
244050,19,14.66666667,60,4.666666667,5.5,14,34.5,0,0.5,9.333333333,66,-235.9,3.22,5.333333333,5.5,0,0,1.951333333,0.10835,200,0.366666667,1306,17.18,38,87,12,81,R,51,86,12
244052,20,14.66666667,31,58.66666667,48.5,27,21.5,4.333333333,12,12.66666667,58,-254.6,0.613333333,5.733333333,6.1,0,0.35,1.987233333,0.9643,138.2,1.233333333,1263,20.92,86,67,7,60,CO,16,56,61
244053,25,28.66666667,50.5,31,16.5,40.33333333,32.5,1,1.5,14.33333333,74.5,-240.7,1.906666667,6,5.95,0.1,0.65,0.840133333,0.2266,185,0.733333333,1325,18.14,83,44,6,91,C,98,65,20
244054,24,14.66666667,53.5,9,10.5,43,37,0,1.5,14,71,-218.2,2.5,5.266666667,5.7,0,0,2.032433333,0.085,200,0.6,1296,13.64,26,92,56,61,A,23,93,14
244055,13,18,55,7.666666667,10,41,35,0,1,13,61.5,-259.3,2.686666667,5.433333333,6.15,0.1,0.35,2.564166667,0.11895,161.6,0.6,1251,21.86,48,47,41,23,R,18,32,9
244056,18,17.66666667,55.5,8,9.5,41.33333333,35,0,1,14,67.5,-248.5,2.51,5.4,5.95,0.1,0.35,2.095933333,0.0921,161.6,0.633333333,1265,19.7,69,87,60,66,CO,15,4,44
244058,8,31.66666667,52,20.33333333,14,48,34,1.666666667,3,12.66666667,63,-241.8,2.04,6,6.8,0,2.15,1.663,0.10455,122.7,0.666666667,1241,18.36,68,80,66,97,C,83,79,40
244059,19,14.66666667,52,9,10.5,43,37.5,0,1,13,66,-207.7,2.673333333,5.3,5.9,0,0,2.500666667,0.10515,200,0.566666667,1260,11.54,28,40,70,81,A,95,44,89
244060,8,15.66666667,14.5,24.66666667,48,26.66666667,37.5,1.666666667,3,14,61.5,-241.6,1.34,6.266666667,7.4,0,0,2.065633333,1.13715,200,0.866666667,1284,18.32,99,73,55,68,R,19,95,10
244061,16,29,48.5,19.66666667,18,51,33,1.666666667,3,16,62,-226.2,1.24,5.633333333,7.2,0,3.7,1.808666667,0.10845,89,0.966666667,1225,15.24,35,99,68,72,CO,7,49,27
244062,24,16.66666667,46.5,39,20.5,44.33333333,33.5,1,2,14,68.5,-230.4,1.976666667,5.433333333,5.85,0,0,2.2289,0.14725,200,0.8,1281,16.08,23,40,55,32,C,36,39,87
244063,24,13.33333333,33,12,18.5,42,49.5,0,0,9.333333333,43,-216.6,3.223333333,5.1,6.1,0,0.2,3.858666667,0.32765,200,0.433333333,1266,13.32,19,59,88,43,A,18,73,66
244064,14,24.33333333,50,14.33333333,12.5,61.33333333,38,1.333333333,2,17.33333333,76.5,-222.1,1.06,5.633333333,6.45,0,1.6,1.534866667,0.08735,134.5,1.066666667,1239,14.42,11,93,49,78,R,41,40,85
244065,20,16.66666667,46.5,39,20.5,44.33333333,33.5,1,2,14,68.5,-230.2,1.976666667,5.433333333,5.85,0,0,2.2289,0.14725,200,0.8,1267,16.04,4,93,58,5,CO,39,60,46
244066,23,22.66666667,45.5,15.33333333,16,62.33333333,39.5,4,4,18.33333333,78,-187.1,0.6,5.666666667,6.6,0,1.55,1.0952,0.0711,115.4,1.1,1176,7.42,47,85,35,84,C,15,41,99
244067,23,18.66666667,54,7,9,41.33333333,37,0.666666667,2.5,14.33333333,71,-260.2,2.323333333,4.9,5.45,0,0,2.1031,0.09235,200,0.666666667,1297,22.04,16,81,76,27,A,42,3,26
244068,6,20.66666667,44.5,38.66666667,19,40.66666667,37,1.666666667,1.5,12.66666667,66.5,-208.1,1.86,5.7,6.15,0,0.4,2.116133333,0.22765,200,0.8,1257,11.62,2,40,18,81,R,30,97,21
244069,27,9.333333333,25,34,24,56.66666667,51,0,1.5,14.66666667,81,-216.3,1.433333333,6.133333333,6.55,0,0,2.213333333,0.4815,200,0.966666667,1271,13.26,25,58,69,55,CO,41,16,67
244070,17,18.66666667,46.5,10,15.5,38,39,3,4,15.66666667,72.5,-199.1,1.663333333,5.666666667,6.45,0,1.15,1.723,0.0994,129.5,0.833333333,1237,9.82,7,80,9,89,C,44,31,63
245001,3,20.66666667,42.5,14.66666667,22.5,31.66666667,36.5,3,4.5,11,56,-181.9,2.65,5.5,5.8,0,0,2.3,0.4024,200,0.666666667,1223,6.38,5,41,45,21,A,61,74,81
245002,1,23,43,13,20.5,31,36,3.666666667,6,13,59.5,-176.1,2.21,5.433333333,5.5,0,0,1.792,0.2627,200,0.733333333,1218,5.22,100,15,21,44,R,87,54,76
245003,6,20.66666667,42.5,14.66666667,22.5,31.66666667,36.5,3,4.5,11,56,-179.9,2.65,5.5,5.8,0,0,2.3,0.4024,200,0.666666667,1210,5.98,32,97,15,54,CO,35,34,61
245004,1,22,47,11,16.5,33.66666667,36,1.333333333,2.5,7.666666667,39,-187.5,3.753333333,5.5,5.7,0,0,3.143333333,0.65105,200,0.366666667,1241,7.5,22,88,77,61,C,64,44,15
245005,23,22,47,11,16.5,33.66666667,36,1.333333333,2.5,7.666666667,39,-186.7,3.753333333,5.5,5.7,0,0,3.143333333,0.65105,200,0.366666667,1202,7.34,60,62,34,68,A,85,8,42
245006,6,23,43,13,20.5,31,36,3.666666667,6,13,59.5,-159.6,2.21,5.433333333,5.5,0,0,1.792,0.2627,200,0.733333333,1167,1.92,97,24,6,77,R,49,54,10
249006,9,13.66666667,21.5,28,50.5,25,28,2.333333333,3,8,39,-202.9,4,5.333333333,6.15,0,0,2.946666667,0.32215,200,0.4,1176,10.58,86,42,54,24,CO,63,85,83
250002,27,25.33333333,39,16.33333333,32,24.66666667,29.5,1.333333333,2,14,53,-192.2,2.02,5.633333333,6.4,0,0,2.41,0.2202,200,0.8,1160,8.44,49,94,53,54,C,64,1,84
250004,30,13.66666667,24.5,28,47,25,28,2.333333333,6.5,12,53,-204.7,2.373333333,5.366666667,6.5,0,0,2.569333333,0.3415,200,0.733333333,1091,10.94,35,82,43,3,A,44,84,70
251002,22,13.66666667,21.5,28,50.5,25,28,2.333333333,3,5.666666667,32.5,-186.2,5.086666667,5.266666667,6.15,0,0,3.024666667,0.3,200,0.233333333,1089,7.24,29,52,9,97,R,16,89,12
251003,19,13.66666667,21.5,28,50.5,25,28,2.333333333,3,9,42,-194,3.52,5.366666667,6.15,0,0,2.804,0.34435,200,0.533333333,1070,8.8,79,56,35,17,CO,68,14,20
251004,10,13.66666667,21.5,28,50.5,25,28,2.333333333,3,9.333333333,40,-184.9,3.393333333,5.3,6.15,0,0,3.011333333,0.32215,200,0.533333333,1138,6.98,85,67,88,9,C,75,75,61
251005,3,13.66666667,26,28,45.5,25,29,1.666666667,7,11.33333333,52,-174.9,2.633333333,5.4,6.6,0,0,2.748,0.35535,200,0.633333333,1002,4.98,67,14,94,59,A,34,68,5
251006,2,13.66666667,21.5,28,50.5,25,28,2.333333333,3,9,42,-173.4,3.52,5.366666667,6.15,0,0,2.804,0.34435,200,0.533333333,1000,4.68,81,17,72,62,R,58,84,2
251007,17,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-159.8,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,970,1.96,16,64,87,62,CO,64,51,73
251008,3,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-168.2,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,979,3.64,7,5,40,7,C,52,50,39
251009,6,13.66666667,24.5,28,47,25,28,2.333333333,6.5,12,53,-158.3,2.373333333,5.366666667,6.5,0,0,2.569333333,0.3415,200,0.733333333,1062,1.66,50,4,42,88,A,68,39,10
251010,29,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-134.8,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,1001,0,70,99,82,32,R,25,42,45
251011,27,13.66666667,24.5,28,47,25,28,2.333333333,6.5,12,53,-164.1,2.373333333,5.366666667,6.5,0,0,2.569333333,0.3415,200,0.733333333,1008,2.82,35,69,75,82,CO,83,57,98
251012,24,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-144.2,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,963,0,46,36,2,87,C,3,50,84
251013,10,13.66666667,21.5,28,50.5,25,28,2.333333333,3,8,39,-187.4,4,5.333333333,6.15,0,0,2.946666667,0.32215,200,0.4,1050,7.48,0,39,21,85,A,68,11,82
253001,5,13.66666667,25.5,28,46.5,25,28,1.666666667,6,11,48,-200.6,2.73,5.4,6.5,0,0,2.986,0.3415,200,0.6,1099,10.12,16,36,16,6,R,80,70,16
253002,24,14.33333333,38,23,31.5,29.66666667,30,5.333333333,10.5,14.66666667,71.5,-158.6,1.8,5.133333333,5.05,0,0,1.8062,0.25525,200,0.866666667,985,1.72,89,47,92,83,CO,59,22,31
253003,28,2.333333333,28.5,16,41.5,15,31,1.666666667,4.5,8.666666667,59.5,-134.4,2.843333333,5.5,5.5,0,0,3.186666667,0.24,200,0.533333333,991,0,72,24,8,86,C,0,19,92
253004,2,27,41,27.66666667,28,46,31,1.666666667,3,14,59,-177.2,1.75,5.666666667,6.65,0,1.85,1.6899,0.17055,144.5,0.8,1100,5.44,31,49,93,72,A,59,23,14
253005,3,2.333333333,28,16,41,15,31.5,2.333333333,5.5,10.66666667,70,-182.9,2.3,5.3,5.2,0,0,2.886666667,0.24,200,0.633333333,1076,6.58,44,80,13,80,R,79,81,15
253006,3,13.66666667,26,28,45.5,25,29,0.666666667,3.5,6.666666667,35.5,-150.2,3.54,4.766666667,5.8,0,0,4.057333333,0.32765,200,0.366666667,1007,0.04,34,61,38,17,CO,98,64,7
253007,7,13.66666667,34.5,28,35.5,25,30,2.333333333,3,13.66666667,62.5,-188.4,1.806666667,5.633333333,6.2,0,0,1.34,0.22855,200,0.766666667,1133,7.68,5,51,18,34,C,53,44,36
254001,6,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-116.6,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,896,0,22,33,96,72,A,37,31,3
254002,25,13.66666667,21.5,28,50.5,25,28,2.333333333,3,8,39,-98.9,4,5.333333333,6.15,0,0,2.946666667,0.32215,200,0.4,887,0,65,73,15,52,R,64,6,60
254003,29,13.66666667,21.5,28,50.5,25,28,3,4,11.66666667,48,-83.4,2.556666667,5.333333333,6.1,0,0,2.452,0.34435,200,0.733333333,839,0,13,51,20,72,CO,58,74,0
254004,26,13.66666667,21.5,28,50.5,25,28,1.333333333,2,6.666666667,32,-88.3,4.353333333,5.3,6.2,0,0,3.33,0.3,200,0.3,848,0,88,26,30,83,C,7,43,27
263007,16,1.333333333,2.5,58.66666667,95,6.666666667,2.5,1.666666667,2,4.666666667,15,-240.8,2.37,4.833333333,5.45,0,0,5.483333333,2.3,100,0.766666667,1266,18.16,33,35,50,52,A,52,35,15
263008,20,1.333333333,2.5,58.66666667,95,6.666666667,2.5,1.666666667,2,4.666666667,14,-222.7,1.953333333,5.033333333,5.6,0,0,5.506666667,2.7,100,0.866666667,1245,14.54,91,13,57,16,R,64,49,67
263009,18,1.333333333,2.5,58.66666667,95,6.666666667,2.5,1.666666667,2,4.666666667,14,-247.5,2.073333333,5.8,6.35,0,0,5.5,2.58575,140,0.866666667,1305,19.5,91,87,24,77,CO,81,70,76
263023,24,1.333333333,3.5,58.66666667,91,6.666666667,5.5,1.666666667,2,5.666666667,15.5,-224.4,1.69,6.133333333,6.65,0,0,4.542233333,3.24,200,0.933333333,1298,14.88,10,37,73,9,C,52,19,63
263026,22,19,20,11.33333333,31,36.33333333,48,1.666666667,3,13.66666667,60.5,-242.8,1.973333333,6.2,7.25,0,0,2.442233333,0.9667,140,0.766666667,1342,18.56,99,45,4,3,A,30,70,63
331005,9,1.333333333,5.5,58.66666667,88.5,6.666666667,6.5,0.666666667,1,3.666666667,19,-229.5,3.496666667,5.133333333,5.95,0,0,5.215133333,1.20335,200,0.4,1327,15.9,36,1,42,50,R,60,78,19
331016,23,2.333333333,5,57,87,7,8,0.333333333,1,5.333333333,21,-227.3,2.046666667,5.8,6.45,0,0,4.390266667,2.12665,200,0.8,1330,15.46,51,42,94,94,CO,69,74,88
331021,22,1.333333333,12,29.33333333,70.5,3,17.5,11.66666667,21,3.333333333,23,-226.4,3.09,5.333333333,6.05,0,0,4.210266667,1.11665,200,0.5,1335,15.28,38,47,69,78,C,82,45,2
338004,5,2.666666667,11,57.66666667,72,6.666666667,17.5,20,36,3.333333333,22,-222.1,2.013333333,5.833333333,6.2,0,0,3.7418,1.74085,200,0.8,1357,14.42,14,85,15,72,A,4,9,73
574015,2,17.33333333,37.5,20.66666667,32.5,29,30.5,0.666666667,1,13,52.5,-253.5,1.84,6.4,6.9,2.2,7.2,2.761766667,0.945,120,0.833333333,1306,20.7,25,19,56,26,R,9,35,79
574016,17,2.333333333,3.5,57,87.5,7,9,0,0,5.333333333,20,-251.8,2.8,6,6.7,0,0,3.8889,1.92,188.3,0.633333333,1298,20.36,60,92,20,26,CO,39,45,42
574017,24,1.333333333,4,58.66666667,86,6.666666667,10.5,1,1,6,20.5,-252.4,2.54,6.533333333,7.2,0,0,3.025566667,2.85,200,0.666666667,1299,20.48,85,55,70,43,C,100,91,69
574018,6,21.66666667,29.5,10.33333333,16,34.33333333,54,0,0,21.33333333,75,-250.3,1.02,7.233333333,7.7,0,0,0.8547,0.3245,140,1.066666667,1295,20.06,24,29,43,97,A,10,9,88
574019,27,1.333333333,3.5,58.66666667,89,6.666666667,7.5,1,1,4.666666667,18,-247.4,2.766666667,6.1,6.8,0,0,4.3728,2.23335,180,0.6,1286,19.48,79,89,60,72,R,92,67,30
576003,5,2.333333333,3.5,57,86.5,7,9.5,0,0,5.666666667,20.5,-254.9,2.666666667,6.2,6.85,0,0,3.406666667,2.19,188.3,0.666666667,1284,20.98,1,47,10,21,CO,43,91,48
576004,18,1.333333333,5,58.66666667,90,6.666666667,5.5,1.333333333,2,4,18,-251.6,3.206666667,5.633333333,6.4,0,0,4.985133333,1.60335,176.6,0.533333333,1260,20.32,78,80,21,7,C,2,70,97
576005,12,5,18,21.33333333,59,7.333333333,22.5,12.33333333,22,7.666666667,40.5,-251.4,2.266666667,5.233333333,5.85,0,0,3.1176,0.96415,200,0.733333333,1290,20.28,32,20,30,68,A,14,58,37
576006,22,4,10.5,54.33333333,73.5,8.333333333,15.5,10.33333333,18,6.333333333,27.5,-248.4,1.613333333,5.566666667,5.95,0,0,3.768666667,1.8375,200,0.933333333,1273,19.68,81,74,28,45,R,76,2,49
576007,10,2.333333333,3.5,57,86.5,7,9.5,0,0,5.333333333,20.5,-248.3,2.603333333,6.233333333,6.9,0,0,3.533333333,2.19,200,0.666666667,1258,19.66,85,66,79,80,CO,85,81,90
576008,26,2.333333333,3.5,57,86.5,7,9.5,0,0,4.666666667,20,-254.3,3.1,5.833333333,6.55,0,0,4.112233333,1.65,200,0.5,1302,20.86,77,61,66,20,C,58,68,13
576009,18,2.333333333,3.5,57,86.5,7,9.5,0,0,4.666666667,20,-260.8,3.1,5.833333333,6.55,0,0,4.112233333,1.65,200,0.5,1301,22.16,76,55,51,35,A,87,76,13
576010,26,4.666666667,7.5,45.33333333,71.5,16.33333333,21,0,0,8,30,-262.3,2.043333333,5.566666667,6.25,0,0.2,4.106,1.72465,200,0.833333333,1316,22.46,73,40,7,79,R,12,92,33
576011,24,19.66666667,23,14,28.5,33.33333333,48.5,1,2,16.66666667,65.5,-264.5,1.586666667,6.666666667,7.45,0,0,1.828566667,0.67785,200,0.9,1326,22.9,87,52,44,40,CO,40,42,58
576012,13,1.333333333,5,58.66666667,90,6.666666667,5.5,1.666666667,3,5.333333333,17,-263.6,1.72,5.833333333,6.45,0,0,5.110266667,2.90665,200,0.933333333,1320,22.72,57,54,31,11,C,73,45,79
577001,12,17.66666667,19,17.66666667,36.5,31.33333333,44,1.666666667,3,16,66,-253.5,1.35,6.5,7.45,0,0,1.781033333,0.9512,200,0.9,1336,20.7,44,33,9,85,A,67,75,32
577002,11,20,24.5,12,25.5,34.66666667,50,1,2,19,72,-248.6,1.266666667,6.866666667,7.55,0,0,1.340566667,0.65785,200,0.966666667,1368,19.72,90,86,36,69,R,27,76,95
578001,23,1.333333333,5,58.66666667,90,6.666666667,5.5,1.666666667,3,5.333333333,17,-263.8,1.72,5.833333333,6.45,0,0,5.110266667,2.90665,200,0.933333333,1331,22.76,3,33,17,2,CO,28,84,29
578002,17,2.333333333,4,57,85.5,7,10.5,0,0,4.666666667,20,-259.6,3.456666667,5.966666667,6.8,0,0,4.2089,1.38,200,0.4,1333,21.92,92,49,86,48,C,7,94,66
578003,10,1.333333333,7.5,58.66666667,85,6.666666667,8.5,0.333333333,1,3.333333333,20,-256.6,3.91,5.633333333,6.5,0,0,5.1918,0.80335,200,0.266666667,1363,21.32,7,36,53,52,A,32,49,19
579001,15,2.333333333,4.5,57,87.5,7,8,0.333333333,1,6,20,-235.9,1.686666667,5.833333333,6.45,0,0,4.2936,2.39665,200,0.966666667,1386,17.18,40,5,73,32,R,4,11,54
579002,6,2.333333333,4.5,57,87.5,7,8,0.333333333,1,6,20,-230.6,1.686666667,5.833333333,6.45,0,0,4.2936,2.39665,200,0.966666667,1355,16.12,36,36,62,27,CO,94,94,37
579003,28,2.333333333,5,57,87,7,8,0.333333333,1,5.333333333,21,-239.7,2.046666667,5.8,6.45,0,0,4.390266667,2.12665,200,0.8,1392,17.94,35,39,48,66,C,11,38,66
579004,26,3.666666667,10,50.66666667,66.5,12.66666667,24,2.666666667,4,8,39,-242.3,1.586666667,5.8,6.9,0,0,3.7014,2.34,200,0.9,1419,18.46,64,8,23,58,A,45,50,15
579005,16,1.666666667,5.5,57.66666667,89.5,7,5.5,2,6,5.666666667,18.5,-240.3,1.366666667,5.6,6.35,0,0,4.8825,3.18,200,1.033333333,1411,18.06,46,27,43,77,R,73,98,26
579006,21,1.666666667,4.5,58,89,7,6.5,1.333333333,2,5.666666667,18,-233.9,1.47,5.833333333,6.45,0,0,4.7736,2.91665,200,1.033333333,1406,16.78,75,94,100,68,CO,2,10,72
580001,9,9.333333333,25.5,21.33333333,29,36.33333333,45.5,0.666666667,0.5,13.66666667,60.5,-260.2,1.916666667,5.633333333,6.75,0,0.55,2.706666667,0.85875,200,0.8,1337,22.04,7,57,41,8,C,86,36,82
580002,2,20.33333333,53,12.33333333,12.5,34.33333333,35,0,1,15.33333333,77,-266.1,2.05,5.6,5.65,0,0,0.814166667,0.1503,200,0.7,1339,23.22,41,3,63,3,A,53,9,46
580003,3,19,62,2.666666667,3.5,12.33333333,34.5,1,3,12,71,-235.8,2.686666667,5.033333333,5.05,0,0,1.762233333,0.08275,200,0.5,1356,17.16,98,26,48,17,R,30,57,40
581002,11,20,49,11.33333333,15.5,35.33333333,36,1.333333333,2,8.666666667,40.5,-145.9,3.326666667,5.3,5.65,0,0,3.412,0.54535,200,0.433333333,1115,0,17,15,1,62,CO,28,24,51
581004,15,23,43,13,20.5,31,36,3.666666667,6,13,59.5,-157.1,2.21,5.433333333,5.5,0,0,1.792,0.2627,200,0.733333333,1145,1.42,86,77,51,100,C,88,43,18
581007,6,20,49,11.33333333,15.5,35.33333333,36,1.333333333,2,8.666666667,40.5,-152.1,3.28,5.366666667,5.75,0,0,3.152,0.43935,200,0.433333333,1051,0.42,19,23,75,100,A,49,70,65
581008,27,56,46,4.333333333,14.5,40.66666667,39,0,0,10,34.5,-171.6,3.5,4.3,5.15,0,1.3,2.275433333,0.60845,153.8,0.633333333,1087,4.32,22,19,69,60,R,10,63,48
581010,5,26,44.5,10.66666667,19,30.33333333,36.5,2.333333333,3,7.333333333,33,-165.9,3.66,5.2,5.4,0,0,3.618,0.5509,188.3,0.4,1085,3.18,70,14,28,44,CO,53,4,7
581011,7,50.66666667,57.5,6.333333333,6,43.33333333,37,1,0.5,11.66666667,37.5,-183.7,2.41,5.033333333,6,0,0,0.876,0.4828,200,0.833333333,1121,6.74,76,27,65,49,C,95,66,3
582002,18,22.33333333,44.5,12,19,32.66666667,37,4.333333333,7,13.66666667,62.5,-117.1,1.816666667,5.366666667,5.35,0,0,1.844,0.13735,200,0.8,1013,0,68,44,53,26,A,65,51,47
582004,29,22.66666667,44,12,19,32.33333333,36.5,5,8,15.33333333,67.5,-82,1.463333333,5.333333333,5.15,0,0,1.633333333,0.115,200,0.9,942,0,44,8,13,61,R,26,32,16
582007,26,22.66666667,44,12,19,32.33333333,36.5,5,8,15.33333333,67.5,-104.6,1.463333333,5.333333333,5.15,0,0,1.633333333,0.115,200,0.9,952,0,22,32,36,67,CO,57,50,23
583001,2,25,47,10,16,32,37,5,7,14,67,-151.2,1.87,5.433333333,5.3,0,0.35,1.375566667,0.091,200,0.733333333,1153,0.24,85,100,80,78,C,97,16,93
583002,30,22.66666667,44,12,19,32.33333333,36.5,5,8,15.33333333,67.5,-112.7,1.463333333,5.333333333,5.15,0,0,1.633333333,0.115,200,0.9,1061,0,16,68,51,57,A,82,69,47
583003,12,20.66666667,38,19,31.5,27,31,5,7,14,56.5,-124.6,1.47,5.266666667,4.9,0,0,2.0711,0.51035,200,0.9,1102,0,8,51,93,14,R,89,37,58
583004,17,22.66666667,45,11.33333333,18.5,33,37,5.666666667,9,16.66666667,73,-114.9,1.13,5.333333333,5,0,0,1.45,0.0894,200,0.966666667,1045,0,63,50,33,8,CO,9,75,3
583005,30,22.66666667,45,11.33333333,18.5,33,37,5.666666667,9,16.66666667,73,-91.9,1.13,5.333333333,5,0,0,1.45,0.0894,200,0.966666667,1023,0,8,23,95,76,C,18,29,56
583006,23,22.66666667,45,11.33333333,18.5,33,37,5.666666667,9,16.66666667,73,-79,1.13,5.333333333,5,0,0,1.45,0.0894,200,0.966666667,990,0,15,44,28,87,A,10,22,82
583007,24,10.66666667,25.5,18.66666667,47.5,37.66666667,27.5,6.333333333,49.5,11.33333333,33,-76.2,2.43,4.833333333,4.95,0,0,3.0711,0.5027,200,0.633333333,948,0,6,24,80,48,R,29,16,29
583008,21,22.66666667,45,11.33333333,18.5,33,37,5.666666667,9,16.66666667,73,-108.5,1.13,5.333333333,5,0,0,1.45,0.0894,200,0.966666667,981,0,64,89,10,78,CO,9,18,10
583009,9,22,43,13.66666667,21.5,31.33333333,36,4.333333333,6.5,13.66666667,62.5,-150.2,1.896666667,5.233333333,5.3,0,0,2.346666667,0.3672,200,0.8,1049,0.04,82,67,95,99,C,55,68,41
583011,30,22.66666667,44,12,19,32.33333333,36.5,5,8,15.33333333,67.5,-141,1.463333333,5.333333333,5.15,0,0,1.633333333,0.115,200,0.9,1065,0,92,38,59,33,A,12,71,35
