"slc","region","ps","lt","cf","surface","subsurface","pattern","inundationPeriod","usableGrowingSeasonLength","frequency","points","class"
47,2,48,"simple",10,0,0,0,1,1,1,14.0633448634215,"6T"
48,2,42,"complex",5,0,0,0,1,1,1,16.3814452685634,"6T"
49,2,85,"simple",55,0,0,0,1,1,1,4.82276495381018,"7T"
50,2,68,"complex",23,0,0,0,1,1,1,8.16158330602649,"7T"
51,1,31,"simple",50,0,0,0,1,1,1,16.9271385730912,"6T"
52,1,87,"complex",91,0,0,0,1,1,1,4.3578385513491,"7T"
53,2,43,"simple",16,0,0,0,1,1,1,15.1686362141888,"6T"
54,1,85,"complex",13,0,0,0,1,1,1,6.40911919277853,"7T"
55,1,96,"simple",39,0,0,0,1,1,1,4.33304862895264,"7T"
56,1,6,"complex",86,0,0,0,1,1,1,46.5420013415152,"3TP"
57,1,87,"simple",71,0,0,0,1,1,1,4.404960115269,"7T"
58,1,20,"complex",66,0,0,0,1,1,1,23.5803455815538,"5T"
59,2,91,"simple",19,0,0,0,1,1,1,5.47828321814963,"7T"
60,2,90,"complex",36,0,0,0,1,1,1,4.9138429703149,"7T"
61,1,21,"simple",53,0,0,0,1,1,1,23.8253106591838,"5T"
62,1,89,"complex",33,0,0,0,1,1,1,5.10674162543003,"7T"
63,2,3,"simple",35,0,0,0,1,1,1,67.7126167139934,"2T"
64,1,44,"complex",50,0,0,0,1,1,1,11.6848348949325,"6T"
65,1,98,"simple",35,0,0,0,1,1,1,4.29694329061917,"7T"
66,1,8,"complex",66,0,0,0,1,1,1,42.4439748131445,"4TP"
67,2,46,"simple",17,0,0,0,1,1,1,13.9372997928176,"6T"
68,2,12,"complex",33,0,0,0,1,1,1,40.4432227038955,"4T"
69,2,17,"simple",10,0,0,0,1,1,1,38.0996137050419,"4T"
70,2,33,"complex",77,0,0,0,1,1,1,14.5444824940486,"6T"
71,2,1,"simple",7,0,0,0,1,1,1,94.0562182271193,"1"
72,1,77,"complex",69,0,0,0,1,1,1,5.32039675328277,"7T"
73,2,56,"simple",74,0,0,0,1,1,1,8.06824089339026,"7T"
74,2,6,"complex",62,0,0,0,1,1,1,48.4534090600432,"3TP"
75,1,70,"simple",5,0,0,0,1,1,1,8.72731975133593,"7T"
76,1,86,"complex",44,0,0,0,1,1,1,5.01831707763305,"7T"
77,2,2,"simple",55,0,0,0,1,1,1,64.4700233261041,"2P"
78,1,79,"complex",76,0,0,0,1,1,1,5.05531746059208,"7T"
79,1,85,"simple",74,0,0,0,1,1,1,4.54070884035246,"7T"
80,1,64,"complex",6,0,0,0,1,1,1,9.84914474541006,"7T"
81,2,71,"simple",47,0,0,0,1,1,1,6.53526813352354,"7T"
82,1,53,"complex",35,0,0,0,1,1,1,10.2913558526513,"6T"
83,1,99,"simple",32,0,0,0,1,1,1,4.31199028807814,"7T"
84,1,26,"complex",76,0,0,0,1,1,1,18.3467192630134,"6T"
85,2,49,"simple",100,0,0,0,1,1,1,9.5950390480369,"7T"
86,1,31,"complex",9,0,0,0,1,1,1,22.5266102362526,"5T"
87,1,4,"simple",90,0,0,0,1,1,1,52.9082609859008,"3TP"
88,1,5,"complex",50,0,0,0,1,1,1,54.359749458533,"3TP"
89,1,92,"simple",24,0,0,0,1,1,1,5.17394137310849,"7T"
90,2,75,"complex",55,0,0,0,1,1,1,5.80823092999254,"7T"
91,1,39,"simple",58,0,0,0,1,1,1,12.8580937421289,"6T"
92,1,34,"complex",48,0,0,0,1,1,1,15.5879261705012,"6T"
93,2,85,"simple",92,0,0,0,1,1,1,4.52379674877206,"7T"
94,1,26,"complex",78,0,0,0,1,1,1,18.3025470045354,"6T"
95,2,60,"simple",91,0,0,0,1,1,1,7.35886838281664,"7T"
96,1,74,"complex",36,0,0,0,1,1,1,6.59988640638498,"7T"
97,1,38,"simple",12,0,0,0,1,1,1,17.9517465680596,"6T"
98,1,80,"complex",72,0,0,0,1,1,1,4.99581824055859,"7T"
99,2,25,"simple",53,0,0,0,1,1,1,20.4524300639136,"5T"
100,2,11,"complex",67,0,0,0,1,1,1,35.8215394967126,"4TP"
101,1,94,"simple",55,0,0,0,1,1,1,4.10652334657474,"7T"
102,1,52,"complex",8,0,0,0,1,1,1,12.7963698673997,"6T"
103,1,5,"simple",95,0,0,0,1,1,1,49.9882335167777,"3TP"
104,2,21,"complex",87,0,0,0,1,1,1,22.0430336010508,"5T"
105,2,29,"simple",48,0,0,0,1,1,1,18.2611234906888,"6T"
106,2,37,"complex",7,0,0,0,1,1,1,18.7936308060273,"6T"
107,2,11,"simple",38,0,0,0,1,1,1,41.195718861799,"4T"
108,2,97,"complex",27,0,0,0,1,1,1,4.63130608994782,"7T"
109,1,68,"simple",65,0,0,0,1,1,1,6.40716851479784,"7T"
110,1,40,"complex",85,0,0,0,1,1,1,11.8298603298349,"6T"
111,1,17,"simple",82,0,0,0,1,1,1,26.1011762270704,"5T"
112,1,63,"complex",42,0,0,0,1,1,1,7.90748433252178,"7T"
113,2,81,"simple",39,0,0,0,1,1,1,5.67143051072167,"7T"
114,2,49,"complex",44,0,0,0,1,1,1,10.6718810498169,"6T"
115,2,51,"simple",86,0,0,0,1,1,1,8.96673680618303,"7T"
116,1,71,"complex",23,0,0,0,1,1,1,7.69126901615234,"7T"
117,2,62,"simple",34,0,0,0,1,1,1,8.508588370426,"7T"
118,2,25,"complex",87,0,0,0,1,1,1,18.9224648346069,"6T"
119,2,39,"simple",4,0,0,0,1,1,1,17.7654066099374,"6T"
120,2,80,"complex",51,0,0,0,1,1,1,5.3894443887889,"7T"
121,1,95,"simple",0,0,0,0,1,1,1,5.50253724702134,"7T"
122,1,30,"complex",75,0,0,0,1,1,1,16.0363861176433,"6T"
123,1,83,"simple",13,0,0,0,1,1,1,6.64717822829353,"7T"
124,1,35,"complex",42,0,0,0,1,1,1,15.6650874360208,"6T"
125,2,68,"simple",25,0,0,0,1,1,1,8.03652741580957,"7T"
126,2,15,"complex",6,0,0,0,1,1,1,41.7895671051766,"4T"
127,2,96,"simple",62,0,0,0,1,1,1,3.85338390192112,"7T"
128,1,22,"complex",81,0,0,0,1,1,1,21.1927493608137,"5T"
129,2,51,"simple",78,0,0,0,1,1,1,8.99368192453913,"7T"
130,2,19,"complex",43,0,0,0,1,1,1,27.3175434508314,"5T"
131,2,67,"simple",34,0,0,0,1,1,1,7.67770916506506,"7T"
132,1,94,"complex",14,0,0,0,1,1,1,5.41200255258941,"7T"
133,2,53,"simple",92,0,0,0,1,1,1,8.60107971045464,"7T"
134,2,77,"complex",7,0,0,0,1,1,1,7.62577853393873,"7T"
135,2,96,"simple",55,0,0,0,1,1,1,3.96476498664395,"7T"
136,2,5,"complex",64,0,0,0,1,1,1,51.2056438605027,"3TP"
137,1,76,"simple",2,0,0,0,1,1,1,7.77148085272029,"7T"
138,2,0,"complex",74,0,0,0,1,1,1,69.0400001332,"2P"
139,1,13,"simple",11,0,0,0,1,1,1,45.6471140073931,"3T"
140,2,1,"complex",81,0,0,0,1,1,1,64.4285096150921,"2P"
141,2,65,"simple",6,0,0,0,1,1,1,9.64885954935232,"7T"
142,1,85,"complex",49,0,0,0,1,1,1,4.96820894580551,"7T"
143,1,48,"simple",22,0,0,0,1,1,1,12.7462631705027,"6T"
144,1,24,"complex",54,0,0,0,1,1,1,21.1179692551802,"5T"
145,1,13,"simple",90,0,0,0,1,1,1,31.6114654861904,"4T"
146,2,28,"complex",47,0,0,0,1,1,1,18.9900664768379,"6T"
147,1,20,"simple",37,0,0,0,1,1,1,27.2189212262235,"5T"
148,1,20,"complex",96,0,0,0,1,1,1,23.2068145244507,"5T"
149,2,25,"simple",83,0,0,0,1,1,1,18.9129913651712,"6T"
150,1,48,"complex",91,0,0,0,1,1,1,9.66704196245296,"7T"
151,1,45,"simple",51,0,0,0,1,1,1,11.3322900078675,"6T"
152,1,40,"complex",81,0,0,0,1,1,1,11.8397370653002,"6T"
153,2,32,"simple",36,0,0,0,1,1,1,17.8406358614686,"6T"
154,2,30,"complex",27,0,0,0,1,1,1,20.279962838843,"5T"
155,2,66,"simple",69,0,0,0,1,1,1,6.59605738461093,"7T"
156,2,3,"complex",2,0,0,0,1,1,1,82.2753543695215,"1T"
157,1,89,"simple",87,0,0,0,1,1,1,4.19089568101737,"7T"
158,2,99,"complex",48,0,0,0,1,1,1,3.89682892127041,"7T"
159,2,42,"simple",59,0,0,0,1,1,1,11.8082138103421,"6T"
160,2,29,"complex",79,0,0,0,1,1,1,16.4935412745111,"6T"
161,1,15,"simple",53,0,0,0,1,1,1,30.9326376177635,"4T"
162,1,42,"complex",84,0,0,0,1,1,1,11.2114611646078,"6T"
163,1,97,"simple",95,0,0,0,1,1,1,3.67131462619656,"7T"
164,2,52,"complex",90,0,0,0,1,1,1,8.7819658528103,"7T"
165,1,34,"simple",90,0,0,0,1,1,1,14.0855461166654,"6T"
166,2,70,"complex",89,0,0,0,1,1,1,5.98419848981134,"7T"
167,2,2,"simple",51,0,0,0,1,1,1,65.7260144226077,"2P"
168,1,8,"complex",2,0,0,0,1,1,1,60.3387130703445,"2T"
169,2,57,"simple",33,0,0,0,1,1,1,9.53897096714426,"7T"
170,2,61,"complex",94,0,0,0,1,1,1,7.23370865950924,"7T"
171,2,46,"simple",60,0,0,0,1,1,1,10.6137866060722,"6T"
172,2,78,"complex",57,0,0,0,1,1,1,5.43928810235884,"7T"
173,1,90,"simple",26,0,0,0,1,1,1,5.27967608747904,"7T"
174,2,88,"complex",77,0,0,0,1,1,1,4.28267415982339,"7T"
175,1,65,"simple",17,0,0,0,1,1,1,9.09722046911901,"7T"
176,1,43,"complex",34,0,0,0,1,1,1,13.2236587012245,"6T"
177,1,62,"simple",87,0,0,0,1,1,1,7.03152513000106,"7T"
178,1,92,"complex",19,0,0,0,1,1,1,5.38196650281151,"7T"
179,2,95,"simple",17,0,0,0,1,1,1,5.18794933428712,"7T"
180,2,82,"complex",86,0,0,0,1,1,1,4.75611948590329,"7T"
181,1,22,"simple",15,0,0,0,1,1,1,29.6521700176625,"5T"
182,1,92,"complex",6,0,0,0,1,1,1,5.8014976592641,"7T"
183,2,83,"simple",68,0,0,0,1,1,1,4.77134364281268,"7T"
184,1,96,"complex",24,0,0,0,1,1,1,4.82198223980376,"7T"
185,2,66,"simple",23,0,0,0,1,1,1,8.49716109987876,"7T"
186,2,18,"complex",75,0,0,0,1,1,1,25.1446339503705,"5T"
187,2,47,"simple",93,0,0,0,1,1,1,9.93223221767127,"7T"
188,2,38,"complex",77,0,0,0,1,1,1,12.5574539567774,"6T"
189,1,30,"simple",2,0,0,0,1,1,1,23.2652233379051,"5T"
190,1,15,"complex",75,0,0,0,1,1,1,28.8049516677506,"5T"
191,1,68,"simple",93,0,0,0,1,1,1,6.25461070785986,"7T"
192,1,79,"complex",52,0,0,0,1,1,1,5.46326835641983,"7T"
193,1,58,"simple",45,0,0,0,1,1,1,8.63854851929078,"7T"
194,2,48,"complex",50,0,0,0,1,1,1,10.5736412331307,"6T"
195,1,10,"simple",79,0,0,0,1,1,1,36.9760267842966,"4TP"
196,2,64,"complex",14,0,0,0,1,1,1,9.51821348562816,"7T"
197,1,13,"simple",15,0,0,0,1,1,1,44.1468196497751,"4T"
198,1,79,"complex",33,0,0,0,1,1,1,6.12912648078073,"7T"
199,2,56,"simple",34,0,0,0,1,1,1,9.68429310743648,"7T"
200,2,61,"complex",29,0,0,0,1,1,1,9.00588338000642,"7T"
201,1,80,"simple",75,0,0,0,1,1,1,4.96924693076079,"7T"
202,2,69,"complex",35,0,0,0,1,1,1,7.32608784201073,"7T"
203,1,14,"simple",13,0,0,0,1,1,1,42.7238269936085,"4T"
204,2,78,"complex",19,0,0,0,1,1,1,6.94242089728682,"7T"
205,2,74,"simple",24,0,0,0,1,1,1,7.20058910226247,"7T"
206,2,34,"complex",78,0,0,0,1,1,1,14.0925830244926,"6T"
207,2,52,"simple",65,0,0,0,1,1,1,9.02875298391073,"7T"
208,2,43,"complex",98,0,0,0,1,1,1,11.0935755022084,"6T"
209,2,94,"simple",86,0,0,0,1,1,1,3.83371515419299,"7T"
210,2,85,"complex",30,0,0,0,1,1,1,5.60729811498482,"7T"
211,1,82,"simple",3,0,0,0,1,1,1,6.94758688088666,"7T"
212,2,98,"complex",67,0,0,0,1,1,1,3.66206078552746,"7T"
213,1,11,"simple",2,0,0,0,1,1,1,51.0714847899895,"3T"
214,2,20,"complex",26,0,0,0,1,1,1,29.4419099272312,"5T"
215,1,3,"simple",65,0,0,0,1,1,1,58.0511394218618,"3TP"
216,2,27,"complex",22,0,0,0,1,1,1,23.3120176947216,"5T"
217,1,20,"simple",49,0,0,0,1,1,1,25.3225327613036,"5T"
218,1,28,"complex",84,0,0,0,1,1,1,17.018521182965,"6T"
219,1,75,"simple",61,0,0,0,1,1,1,5.66565600439061,"7T"
220,1,65,"complex",36,0,0,0,1,1,1,7.88725348548012,"7T"
221,1,52,"simple",28,0,0,0,1,1,1,11.0714192180781,"6T"
222,1,84,"complex",47,0,0,0,1,1,1,5.11493334738685,"7T"
223,2,66,"simple",44,0,0,0,1,1,1,7.34564005125108,"7T"
224,2,65,"complex",4,0,0,0,1,1,1,9.64885954935232,"7T"
225,2,9,"simple",12,0,0,0,1,1,1,55.9969673398397,"3T"
226,2,99,"complex",44,0,0,0,1,1,1,3.98654599628837,"7T"
227,2,53,"simple",46,0,0,0,1,1,1,9.60359817415321,"7T"
228,2,75,"complex",54,0,0,0,1,1,1,5.83516174927765,"7T"
229,1,18,"simple",71,0,0,0,1,1,1,25.3322415804271,"5T"
230,2,88,"complex",88,0,0,0,1,1,1,4.26896760920145,"7T"
231,1,25,"simple",2,0,0,0,1,1,1,27.630951139098,"5T"
232,2,26,"complex",23,0,0,0,1,1,1,23.957357704491,"5T"
233,1,54,"simple",14,0,0,0,1,1,1,11.8120762626448,"6T"
234,2,71,"complex",25,0,0,0,1,1,1,7.57341951837137,"7T"
235,1,82,"simple",82,0,0,0,1,1,1,4.75691349570549,"7T"
236,1,51,"complex",43,0,0,0,1,1,1,10.2380224794471,"6T"
237,1,4,"simple",62,0,0,0,1,1,1,54.9435329548718,"3TP"
238,2,72,"complex",54,0,0,0,1,1,1,6.18238362759704,"7T"
239,2,47,"simple",42,0,0,0,1,1,1,11.3400572167632,"6T"
240,2,79,"complex",30,0,0,0,1,1,1,6.26196234362452,"7T"
241,1,68,"simple",4,0,0,0,1,1,1,9.08082193235487,"7T"
242,1,21,"complex",42,0,0,0,1,1,1,25.3123808386866,"5T"
243,1,95,"simple",16,0,0,0,1,1,1,5.23055469398278,"7T"
244,1,11,"complex",40,0,0,0,1,1,1,40.6674937923227,"4T"
245,2,95,"simple",3,0,0,0,1,1,1,5.50253724702134,"7T"
246,1,71,"complex",2,0,0,0,1,1,1,8.55753617290725,"7T"
247,1,58,"simple",0,0,0,0,1,1,1,11.1836211498113,"6T"
248,2,44,"complex",49,0,0,0,1,1,1,11.7465912463461,"6T"
249,2,30,"simple",47,0,0,0,1,1,1,17.7673187267247,"6T"
250,1,31,"complex",90,0,0,0,1,1,1,15.4596908282815,"6T"
251,1,42,"simple",3,0,0,0,1,1,1,16.3814452685634,"6T"
252,1,5,"complex",92,0,0,0,1,1,1,49.758806437238,"3TP"
253,1,23,"simple",46,0,0,0,1,1,1,22.8608087428193,"5T"
254,2,97,"complex",68,0,0,0,1,1,1,3.71639961372576,"7T"
255,1,91,"simple",9,0,0,0,1,1,1,5.90532238546598,"7T"
256,1,13,"complex",77,0,0,0,1,1,1,31.6627913431268,"4T"
257,2,51,"simple",55,0,0,0,1,1,1,9.60481218770485,"7T"
258,2,52,"complex",65,0,0,0,1,1,1,9.02875298391073,"7T"
259,2,29,"simple",55,0,0,0,1,1,1,17.6311690043452,"6T"
260,2,47,"complex",14,0,0,0,1,1,1,13.9356959375476,"6T"
261,1,15,"simple",46,0,0,0,1,1,1,32.0943875790667,"4T"
262,1,7,"complex",46,0,0,0,1,1,1,49.1493435931823,"3T"
263,1,75,"simple",87,0,0,0,1,1,1,5.4244101784608,"7T"
264,1,60,"complex",58,0,0,0,1,1,1,7.75274916997512,"7T"
265,2,48,"simple",81,0,0,0,1,1,1,9.6388991905873,"7T"
266,2,21,"complex",86,0,0,0,1,1,1,22.0347567724397,"5T"
267,1,99,"simple",13,0,0,0,1,1,1,4.99996779334651,"7T"
268,1,77,"complex",31,0,0,0,1,1,1,6.45467683621977,"7T"
269,1,53,"simple",82,0,0,0,1,1,1,8.56177927108524,"7T"
270,2,49,"complex",85,0,0,0,1,1,1,9.40078365622258,"7T"
271,1,5,"simple",52,0,0,0,1,1,1,53.8099512348798,"3TP"
272,2,68,"complex",15,0,0,0,1,1,1,8.70331919562401,"7T"
273,2,46,"simple",83,0,0,0,1,1,1,10.1183639399941,"6T"
274,2,79,"complex",47,0,0,0,1,1,1,5.60911499882226,"7T"
275,1,64,"simple",85,0,0,0,1,1,1,6.74103608164785,"7T"
276,2,1,"complex",43,0,0,0,1,1,1,73.5170275775477,"2P"
277,2,19,"simple",27,0,0,0,1,1,1,30.4649973590332,"4T"
278,1,3,"complex",43,0,0,0,1,1,1,64.3087677789773,"2TP"
279,2,93,"simple",92,0,0,0,1,1,1,3.92048602974502,"7T"
280,2,67,"complex",66,0,0,0,1,1,1,6.51721141220157,"7T"
281,1,26,"simple",97,0,0,0,1,1,1,18.4906599016991,"6T"
282,1,15,"complex",70,0,0,0,1,1,1,29.0855387595294,"5T"
283,1,36,"simple",40,0,0,0,1,1,1,15.4031266908684,"6T"
284,2,83,"complex",65,0,0,0,1,1,1,4.81285561851976,"7T"
285,2,46,"simple",91,0,0,0,1,1,1,10.1555311994773,"6T"
286,1,0,"complex",60,0,0,0,1,1,1,71.80000012,"2P"
287,1,19,"simple",29,0,0,0,1,1,1,30.0156463885916,"4T"
288,1,17,"complex",76,0,0,0,1,1,1,26.2384132561592,"5T"
289,1,62,"simple",16,0,0,0,1,1,1,9.76005843793582,"7T"
290,2,77,"complex",36,0,0,0,1,1,1,6.23352925946,"7T"
291,2,6,"simple",51,0,0,0,1,1,1,50.8251863262796,"3TP"
292,1,82,"complex",24,0,0,0,1,1,1,6.19605648704941,"7T"
293,1,75,"simple",23,0,0,0,1,1,1,7.11901500873294,"7T"
294,1,56,"complex",69,0,0,0,1,1,1,8.15338414005257,"7T"
295,2,35,"simple",8,0,0,0,1,1,1,19.9199992588208,"6T"
296,2,1,"complex",43,0,0,0,1,1,1,73.5170275775477,"2P"
297,2,91,"simple",72,0,0,0,1,1,1,4.09221969740597,"7T"
298,2,38,"complex",10,0,0,0,1,1,1,18.2576058299505,"6T"
299,2,97,"simple",59,0,0,0,1,1,1,3.82979518982883,"7T"
300,2,24,"complex",99,0,0,0,1,1,1,19.975417019584,"6T"
301,1,38,"simple",13,0,0,0,1,1,1,17.8019486019133,"6T"
302,1,28,"complex",99,0,0,0,1,1,1,17.327574231359,"6T"
303,1,75,"simple",97,0,0,0,1,1,1,5.49456609469484,"7T"
304,1,6,"complex",71,0,0,0,1,1,1,47.2121595334966,"3TP"
305,2,79,"simple",60,0,0,0,1,1,1,5.27356279570411,"7T"
306,1,4,"complex",10,0,0,0,1,1,1,77.0495822637587,"2T"
307,1,54,"simple",76,0,0,0,1,1,1,8.41275182161079,"7T"
308,2,6,"complex",38,0,0,0,1,1,1,54.8403080391464,"3T"
309,1,49,"simple",27,0,0,0,1,1,1,11.9728035150106,"6T"
310,1,23,"complex",22,0,0,0,1,1,1,26.9635074358225,"5T"
311,1,79,"simple",4,0,0,0,1,1,1,7.34479496781387,"7T"
312,1,49,"complex",96,0,0,0,1,1,1,9.50870331850647,"7T"
313,1,56,"simple",39,0,0,0,1,1,1,9.36542330058723,"7T"
314,2,36,"complex",9,0,0,0,1,1,1,19.3437184629134,"6T"
315,2,57,"simple",19,0,0,0,1,1,1,10.6043362277546,"6T"
316,1,17,"complex",46,0,0,0,1,1,1,29.2772332036272,"5T"
317,2,26,"simple",90,0,0,0,1,1,1,18.2934079179642,"6T"
318,2,7,"complex",65,0,0,0,1,1,1,45.1541309743566,"3TP"
319,1,50,"simple",75,0,0,0,1,1,1,9.24406716693212,"7T"
320,1,0,"complex",97,0,0,0,1,1,1,69.3685715713,"2P"
321,2,98,"simple",42,0,0,0,1,1,1,4.10585201024191,"7T"
322,1,18,"complex",76,0,0,0,1,1,1,25.108154689007,"5T"
323,1,70,"simple",88,0,0,0,1,1,1,5.97995950590344,"7T"
324,2,28,"complex",10,0,0,0,1,1,1,24.8521278254569,"5T"
325,1,70,"simple",29,0,0,0,1,1,1,7.49527156062287,"7T"
326,2,44,"complex",71,0,0,0,1,1,1,10.7984757510076,"6T"
327,2,41,"simple",85,0,0,0,1,1,1,11.5143963519099,"6T"
328,1,67,"complex",67,0,0,0,1,1,1,6.49841685463651,"7T"
329,1,6,"simple",94,0,0,0,1,1,1,46.8994190488003,"3TP"
330,1,81,"complex",91,0,0,0,1,1,1,4.86183274836679,"7T"
331,1,100,"simple",76,0,0,0,1,1,1,3.47061925036333,"7T"
332,1,61,"complex",77,0,0,0,1,1,1,7.20824207349944,"7T"
333,2,40,"simple",97,0,0,0,1,1,1,11.9898634503452,"6T"
334,1,43,"complex",57,0,0,0,1,1,1,11.5982848542296,"6T"
335,1,35,"simple",79,0,0,0,1,1,1,13.6645503759173,"6T"
336,2,79,"complex",56,0,0,0,1,1,1,5.36170033496533,"7T"
337,2,84,"simple",59,0,0,0,1,1,1,4.8278893134944,"7T"
338,1,85,"complex",17,0,0,0,1,1,1,6.20091254777085,"7T"
339,2,16,"simple",2,0,0,0,1,1,1,39.8872733928108,"4T"
340,1,46,"complex",40,0,0,0,1,1,1,11.7710398948065,"6T"
341,1,33,"simple",38,0,0,0,1,1,1,17.0672026855415,"6T"
342,1,52,"complex",91,0,0,0,1,1,1,8.79110611703603,"7T"
343,2,84,"simple",1,0,0,0,1,1,1,6.69769414934058,"7T"
344,1,77,"complex",32,0,0,0,1,1,1,6.4087042857787,"7T"
345,2,65,"simple",31,0,0,0,1,1,1,8.1670704114947,"7T"
346,1,45,"complex",45,0,0,0,1,1,1,11.7090946039757,"6T"
347,1,52,"simple",34,0,0,0,1,1,1,10.6041689141478,"6T"
348,1,29,"complex",85,0,0,0,1,1,1,16.4564447186679,"6T"
349,1,67,"simple",83,0,0,0,1,1,1,6.34170730455426,"7T"
350,2,27,"complex",18,0,0,0,1,1,1,24.0679082479885,"5T"
351,1,31,"simple",79,0,0,0,1,1,1,15.4526110353956,"6T"
352,1,32,"complex",39,0,0,0,1,1,1,17.4908072464911,"6T"
353,1,87,"simple",45,0,0,0,1,1,1,4.89973654168018,"7T"
354,2,51,"complex",6,0,0,0,1,1,1,13.0983216850721,"6T"
355,1,92,"simple",6,0,0,0,1,1,1,5.8014976592641,"7T"
356,2,73,"complex",96,0,0,0,1,1,1,5.69821782885412,"7T"
357,1,90,"simple",20,0,0,0,1,1,1,5.53215246413782,"7T"
358,1,9,"complex",24,0,0,0,1,1,1,50.8196004871538,"3T"
359,1,91,"simple",59,0,0,0,1,1,1,4.25672510595866,"7T"
360,1,23,"complex",75,0,0,0,1,1,1,20.5177459548131,"5T"
361,2,5,"simple",44,0,0,0,1,1,1,56.2075675487905,"3TP"
362,1,26,"complex",76,0,0,0,1,1,1,18.3467192630134,"6T"
363,2,63,"simple",44,0,0,0,1,1,1,7.81267726169007,"7T"
364,1,54,"complex",37,0,0,0,1,1,1,9.92453274405975,"7T"
365,1,19,"simple",2,0,0,0,1,1,1,34.9495200350688,"4T"
366,1,1,"complex",79,0,0,0,1,1,1,64.5198785117235,"2P"
367,1,9,"simple",34,0,0,0,1,1,1,47.2214933352413,"3T"
368,2,23,"complex",43,0,0,0,1,1,1,23.2664860388718,"5T"
369,2,52,"simple",86,0,0,0,1,1,1,8.76002921857641,"7T"
370,1,66,"complex",59,0,0,0,1,1,1,6.81485448719091,"7T"
371,2,9,"simple",55,0,0,0,1,1,1,41.785258142075,"4TP"
372,2,13,"complex",20,0,0,0,1,1,1,42.3898959942089,"4T"
373,2,58,"simple",53,0,0,0,1,1,1,8.2781163875377,"7T"
374,1,7,"complex",40,0,0,0,1,1,1,50.9595314624176,"3T"
375,1,75,"simple",52,0,0,0,1,1,1,5.89173910072057,"7T"
