region,ps,lt,s,cf,surface,subsurface,pattern,inundationPeriod,usableGrowingSeasonLength,frequency
2,34,simple,0.145623896,0.410656204,14,3,0,4,9,14
1,13,complex,0.002620806,0.614084434,12,8,0,4,2,30
2,96,simple,0.583118397,0.122958527,44,20,0,18,8,39
1,71,complex,0.720140197,0.194390294,31,18,0,26,6,39
1,35,simple,0.753907701,0.262140044,27,15,0,16,9,34
2,11,complex,0.175211194,0.548940994,34,25,0,4,2,36
2,100,simple,0.477188559,0.779443964,49,20,0,15,10,7
1,22,complex,0.035226036,0.002278759,9,18,0,2,1,24
1,86,simple,0.688609808,0.039035579,38,25,0,1,4,33
1,23,complex,0.916182769,0.125268569,45,25,0,21,9,26
1,44,simple,0.368423288,0.688616839,21,19,0,17,4,43
1,69,complex,0.859800544,0.759507758,26,12,0,19,0,10
2,4,simple,0.038239455,0.664640251,14,12,0,3,6,44
2,30,complex,0.57952145,0.059937091,9,21,0,24,8,9
1,30,simple,0.63564325,0.85620956,50,22,0,5,0,20
1,35,complex,0.073378472,0.853998846,13,0,0,17,4,26
1,4,simple,0.139294911,0.205656492,29,23,0,13,7,27
1,10,complex,0.79801395,0.131274495,44,4,0,17,3,50
1,87,simple,0.884962231,0.717960843,45,25,0,13,1,11
1,91,complex,0.1148443,0.146386358,14,25,0,27,5,40
2,85,simple,0.877273745,0.016031253,22,14,0,24,2,29
2,13,complex,0.187971909,0.737427292,18,23,0,25,7,16
1,74,simple,0.4734464,0.077889049,50,22,0,21,0,15
1,15,complex,0.494285971,0.132381477,45,21,0,11,6,17
1,61,simple,0.644385205,0.054370891,32,15,0,28,0,28
2,72,complex,0.480577873,0.021869277,11,16,0,12,3,3
1,75,simple,0.40940822,0.524048279,47,23,0,7,6,17
1,48,complex,0.843582624,0.023704752,47,4,0,20,1,4
1,37,simple,0.796429585,0.234974873,35,6,0,13,3,46
2,79,complex,0.588643374,0.854151282,38,0,0,16,0,29
2,5,simple,0.280885695,0.620991166,46,9,0,4,1,14
1,19,complex,0.343946167,0.933482593,11,16,0,23,1,49
1,28,simple,0.606540603,0.563108452,30,19,0,4,9,3
2,88,complex,0.334593875,0.648774805,50,3,0,20,5,31
2,70,simple,0.248369648,0.159308446,21,13,0,26,5,15
1,5,complex,0.18814965,0.926504988,20,2,0,11,7,35
2,26,simple,0.876441374,0.780440783,26,9,0,18,3,47
1,79,complex,0.745600437,0.092177727,15,0,0,20,10,20
1,82,simple,0.914022384,0.089790547,50,17,0,22,4,9
1,24,complex,0.43177736,0.945411832,26,23,0,1,0,20
1,31,simple,0.71611427,0.531304242,3,20,0,10,6,36
1,6,complex,0.912523331,0.053794248,18,7,0,4,6,3
1,99,simple,0.90210108,0.600562325,2,25,0,1,1,39
2,93,complex,0.602320627,0.307013305,49,16,0,27,10,21
1,8,simple,0.166775392,0.281850227,16,13,0,7,3,40
1,57,complex,0.898459301,0.832089699,11,11,0,26,5,26
1,80,simple,0.113499205,0.399381138,26,12,0,23,7,22
1,74,complex,0.043268458,0.180477523,13,4,0,21,2,14
1,99,simple,0.024187239,0.580301914,10,25,0,3,6,21
2,86,complex,0.233408768,0.796322963,45,18,0,10,7,39
1,98,simple,0.331217706,0.354743838,44,2,0,3,3,33
2,79,complex,0.733884052,0.89042343,3,6,0,19,3,32
2,9,simple,0.304131887,0.06034771,49,2,0,1,4,45
2,9,complex,0.221903903,0.546663673,19,20,0,14,6,5
1,26,simple,0.085940253,0.407335123,38,15,0,1,2,18
1,78,complex,0.441385841,0.423273391,17,1,0,9,0,5
2,27,simple,0.739997155,0.303778396,17,4,0,25,1,12
2,49,complex,0.291219431,0.505594553,18,13,0,8,5,17
2,86,simple,0.437502196,0.914410976,20,9,0,6,5,17
1,24,complex,0.87178569,0.625841125,3,16,0,25,4,17
1,34,simple,0.562171681,0.38492891,14,0,0,21,5,17
2,33,complex,0.988067736,0.706281096,16,13,0,26,2,8
2,34,simple,0.388566036,0.104933469,5,20,0,10,10,33
2,48,complex,0.106710884,0.482264063,16,10,0,26,5,39
1,23,simple,0.538812191,0.913239026,44,16,0,13,2,11
2,78,complex,0.95186139,0.510196931,28,14,0,10,1,20
2,28,simple,0.676704273,0.87365355,25,4,0,9,2,1
1,51,complex,0.357766415,0.294386207,39,0,0,0,7,26
2,82,simple,0.633259647,0.83708361,0,15,0,17,6,25
1,1,complex,0.968516273,0.141746149,42,1,0,8,4,16
2,32,simple,0.196328798,0.183682237,17,25,0,13,2,20
1,30,complex,0.527939777,0.964314656,32,9,0,0,4,31
1,6,simple,0.201860517,0.762417546,13,9,0,14,2,9
2,10,complex,0.895844167,0.355569299,29,16,0,14,4,21
1,42,simple,0.462912059,0.001329622,16,11,0,18,4,7
1,0,complex,0.587403808,0.347215691,19,18,0,24,1,43
2,23,simple,0.607185321,0.947656102,33,20,0,28,1,24
1,35,complex,0.912703801,0.024741492,42,18,0,15,7,24
2,25,simple,0.58293501,0.346983991,36,14,0,20,3,40
2,8,complex,0.99695442,0.756718506,35,7,0,3,2,9
1,51,simple,0.687888882,0.238026282,6,8,0,28,5,23
1,29,complex,0.463334134,0.905906083,48,1,0,5,1,43
2,66,simple,0.217211958,0.800776206,21,8,0,17,7,35
2,55,complex,0.895685263,0.551272234,30,5,0,9,1,37
2,70,simple,0.823035061,0.870384024,45,9,0,8,9,27
2,11,complex,0.598842866,0.735905759,32,8,0,8,1,9
2,87,simple,0.908599888,0.07489663,22,23,0,18,3,40
2,90,complex,0.217583781,0.692599771,3,11,0,12,1,25
2,92,simple,0.43708913,0.555252414,38,15,0,5,9,26
1,100,complex,0.19074545,0.290325494,47,21,0,15,8,16
1,52,simple,0.765807685,0.288826869,28,10,0,2,5,2
2,34,complex,0.062958294,0.183937313,10,8,0,8,0,12
1,42,simple,0.523378138,0.342293856,34,12,0,15,7,1
1,80,complex,0.151002736,0.983213734,34,5,0,19,8,41
2,30,simple,0.467774953,0.271827059,12,6,0,11,8,19
2,58,complex,0.468895464,0.303345062,32,17,0,4,9,20
1,7,simple,0.170527903,0.637740847,38,22,0,1,1,5
2,96,complex,0.652716447,0.233626253,26,18,0,25,1,22
2,0,simple,0.383088149,0.484056109,28,20,0,25,7,47
1,55,complex,0.98576182,0.485951942,4,1,0,24,6,44
2,95,simple,0.112405887,0.100409169,47,16,0,21,4,33
2,45,complex,0.351188247,0.828550493,4,21,0,3,6,44
2,97,simple,0.729588703,0.703109296,41,8,0,12,9,6
2,93,complex,0.748599644,0.432519063,42,11,0,2,3,45
1,69,simple,0.216012356,0.81522771,10,5,0,14,10,26
1,15,complex,0.194366409,0.133998811,41,18,0,14,6,19
2,100,simple,0.152557861,0.485813867,18,15,0,23,9,35
2,91,complex,0.170975065,0.456831145,9,2,0,27,6,8
2,98,simple,0.040459451,0.531037393,39,21,0,8,3,29
1,63,complex,0.870069771,0.570879905,13,14,0,21,6,42
2,37,simple,0.068661211,0.724214582,9,10,0,9,0,46
1,35,complex,0.883589999,0.113381088,33,0,0,2,5,5
1,97,simple,0.482149258,0.788026661,22,10,0,21,9,23
2,36,complex,0.844498654,0.626405509,9,6,0,4,0,20
2,65,simple,0.690808879,0.322782801,37,7,0,9,5,22
2,24,complex,0.627611931,0.856178599,13,15,0,20,4,15
2,49,simple,0.698770325,0.156251363,21,3,0,1,10,30
2,75,complex,0.364979952,0.599182194,4,14,0,17,3,46
1,22,simple,0.911143482,0.155371789,39,19,0,2,8,49
2,69,complex,0.000365676,0.25543114,7,13,0,14,9,28
2,19,simple,0.081113228,0.855630185,11,18,0,1,7,5
2,99,complex,0.700657893,0.523268928,50,25,0,1,4,19
1,48,simple,0.724724297,0.785148594,31,5,0,18,9,31
1,95,complex,0.448766138,0.414085365,13,11,0,20,4,25
2,17,simple,0.105389212,0.156276423,2,18,0,16,1,35
1,95,complex,0.664689851,0.521185532,13,0,0,26,7,43
1,86,simple,0.809964435,0.318368911,23,0,0,6,8,31
2,55,complex,0.313985847,0.325105533,22,13,0,28,4,13
2,80,simple,0.698835817,0.313229035,23,9,0,2,0,18
1,85,complex,0.807796871,0.149144068,32,8,0,24,6,40
2,96,simple,0.899363494,0.202798037,18,10,0,1,10,20
2,69,complex,0.762944751,0.361365722,17,22,0,19,10,1
2,28,simple,0.701003694,0.88172848,45,22,0,2,2,5
2,65,complex,0.087518754,0.401122654,7,20,0,7,6,8
1,44,simple,0.835529412,0.287612144,45,9,0,18,3,46
2,46,complex,0.59447992,0.391737601,36,16,0,1,8,5
1,88,simple,0.303802666,0.038779774,6,3,0,17,5,14
2,53,complex,0.89478284,0.665706674,4,2,0,23,8,5
2,1,simple,0.483075237,0.77873282,44,22,0,19,2,17
1,94,complex,0.879898475,0.05562853,23,14,0,21,6,28
1,31,simple,0.417259165,0.043671362,25,19,0,8,10,9
1,57,complex,0.661440297,0.254203888,6,15,0,27,0,8
1,58,simple,0.625021913,0.476060298,0,24,0,10,7,24
2,99,complex,0.030610215,0.812745133,17,13,0,23,9,26
1,90,simple,0.120386784,0.979726343,18,2,0,11,9,35
2,25,complex,0.30022479,0.096712078,38,1,0,26,0,34
1,56,simple,0.339827504,0.615814132,16,4,0,20,6,30
2,75,complex,0.177257382,0.773655168,21,0,0,28,4,45
2,25,simple,0.722983627,0.863595596,35,11,0,12,4,11
2,93,complex,0.542482075,0.722544174,9,10,0,14,7,3
2,61,simple,0.518032086,0.087716683,24,24,0,0,9,22
2,86,complex,0.441997155,0.262493484,3,25,0,24,7,49
2,1,simple,0.951491259,0.188310007,20,24,0,5,8,38
1,72,complex,0.114152063,0.98321061,9,2,0,17,5,28
2,43,simple,0.229915826,0.779821766,31,21,0,8,7,35
2,0,complex,0.323578881,0.272263738,6,5,0,18,9,1
2,10,simple,0.389862572,0.532756572,35,14,0,25,4,36
2,96,complex,0.062699134,0.008312844,15,0,0,16,6,36
1,85,simple,0.038131652,0.635461333,39,11,0,28,6,27
2,46,complex,0.117180575,0.440708299,37,25,0,14,1,29
2,59,simple,0.24720066,0.129955672,37,16,0,7,10,10
2,22,complex,0.135804131,0.836455637,7,23,0,27,2,24
2,47,simple,0.947527748,0.833575826,25,23,0,2,10,11
1,99,complex,0.76898684,0.732213787,15,8,0,16,1,45
2,65,simple,0.145312759,0.823340874,40,5,0,4,1,4
2,0,complex,0.506104784,0.72195028,10,16,0,14,3,8
2,41,simple,0.69097144,0.535814066,19,4,0,7,3,27
2,38,complex,0.743183835,0.952485414,30,5,0,13,4,15
1,96,simple,0.601463853,0.08853614,46,2,0,8,4,50
2,19,complex,0.252032312,0.372078877,50,0,0,20,9,17
2,96,simple,0.147771909,0.069724453,27,23,0,27,10,24
1,57,complex,0.655164296,0.305456738,37,1,0,0,6,31
1,85,simple,0.699201302,0.420110469,17,24,0,2,9,12
2,34,complex,0.31248093,0.999196115,7,17,0,24,1,12
1,61,simple,0.813566947,0.360111,30,24,0,7,5,17
2,13,complex,0.402390442,0.289173317,44,8,0,3,7,48
2,78,simple,0.943300957,0.247776226,3,23,0,11,10,38
1,67,complex,0.925939248,0.526785974,13,15,0,1,5,20
2,47,simple,0.078630601,0.525121289,38,24,0,11,4,40
2,2,complex,0.58580927,0.34289676,4,18,0,20,7,21
1,24,simple,0.649287156,0.347428107,18,7,0,15,2,11
1,52,complex,0.548728542,0.300571706,34,17,0,25,2,2
2,82,simple,0.62192991,0.087264379,1,16,0,28,7,22
1,39,complex,0.236561197,0.65294026,8,9,0,19,6,44
1,35,simple,0.814046096,0.911850907,25,4,0,12,2,47
2,64,complex,0.305970633,0.518764249,6,8,0,14,1,46
1,27,simple,0.052425411,0.912820313,9,24,0,23,7,36
1,44,complex,0.723915625,0.444133052,46,24,0,18,4,25
2,33,simple,0.249021632,0.876990468,44,9,0,21,2,34
2,89,complex,0.007041298,0.976407567,24,3,0,21,2,10
2,47,simple,0.032534752,0.746868779,31,23,0,17,1,21
2,71,complex,0.247165106,0.771742297,5,13,0,4,10,34
1,16,simple,0.772140816,0.532712001,31,4,0,23,3,38
2,11,complex,0.431038525,0.951404043,32,3,0,14,9,21
2,42,simple,0.623247134,0.123924433,4,13,0,19,9,13
2,2,complex,0.630214743,0.541751239,26,22,0,22,8,36
2,22,simple,0.63872181,0.211304118,41,3,0,0,2,44
1,71,complex,0.22165652,0.063707422,5,18,0,5,4,11
2,23,simple,0.490246453,0.20434026,9,12,0,4,1,24
1,79,complex,0.058624255,0.680724599,23,11,0,19,2,24
1,91,simple,0.731489796,0.874678167,7,5,0,24,6,25
2,30,complex,0.394634491,0.186185773,14,21,0,23,0,44
1,60,simple,0.349056754,0.234459501,42,24,0,3,8,23
2,1,complex,0.955386142,0.928708385,50,21,0,18,3,32
1,30,simple,0.056476576,0.306549259,34,19,0,16,0,35
2,23,complex,0.88063959,0.212396331,17,19,0,25,0,12
1,17,simple,0.535735278,0.945683176,38,25,0,14,5,45
2,66,complex,0.053371078,0.712304897,32,10,0,0,5,43
1,46,simple,0.927062489,0.562211749,3,4,0,5,1,6
2,38,complex,0.602457669,0.123728295,0,10,0,14,5,2
2,29,simple,0.574539042,0.617402551,37,16,0,1,10,38
2,100,complex,0.944417498,0.78565476,41,10,0,26,10,27
2,62,simple,0.310314651,0.882659167,21,13,0,26,9,23
2,39,complex,0.747654847,0.075017544,46,16,0,5,5,43
2,55,simple,0.937390297,0.481098695,42,20,0,18,10,3
2,11,complex,0.262170323,0.147296749,41,6,0,11,4,33
1,98,simple,0.135612632,0.958303028,39,10,0,8,9,13
2,48,complex,0.432487164,0.657677569,28,17,0,26,10,21
1,34,simple,0.821593973,0.861616419,28,10,0,13,7,20
1,74,complex,0.996020766,0.292655089,34,15,0,4,2,29
1,18,simple,0.427922269,0.472830925,44,2,0,26,1,37
2,76,complex,0.92524895,0.253211075,41,25,0,9,10,36
1,9,simple,0.190785867,0.577770684,9,16,0,24,10,17
1,76,complex,0.122631278,0.987096991,16,16,0,5,5,3
1,12,simple,0.975859264,0.680584743,14,13,0,17,10,1
2,41,complex,0.340335173,0.899059764,13,11,0,7,3,43
1,0,simple,0.434296667,0.085574486,14,21,0,23,6,13
1,8,complex,0.316687103,0.609784702,5,16,0,11,7,50
2,32,simple,0.382142417,0.355837677,14,7,0,12,6,32
1,16,complex,0.095559597,0.509638513,6,6,0,6,0,21
1,1,simple,0.55140244,0.088184001,18,22,0,7,8,48
1,54,complex,0.76273888,0.601720827,14,5,0,18,1,11
2,18,simple,0.137566316,0.748179409,24,8,0,7,0,13
2,48,complex,0.023581504,0.533502301,0,18,0,0,5,20
2,12,simple,0.561863044,0.05691465,24,6,0,12,0,34
2,6,complex,0.584557428,0.084550698,9,11,0,3,7,30
1,54,simple,0.608798624,0.451391151,39,17,0,9,2,22
2,80,complex,0.354786204,0.030268737,2,3,0,18,6,17
2,53,simple,0.741863152,0.172623952,38,22,0,11,4,37
2,97,complex,0.658261416,0.574039063,6,25,0,6,9,44
1,31,simple,0.393446437,0.149509191,5,3,0,5,1,19
1,1,complex,0.862664193,0.768988469,50,25,0,17,6,37
1,13,simple,0.699963464,0.386586436,21,11,0,28,10,45
1,27,complex,0.156328905,0.66014158,48,23,0,23,6,3
1,62,simple,0.22465537,0.501241917,3,22,0,12,9,9
1,84,complex,0.287963287,0.666376072,46,11,0,17,5,22
2,15,simple,0.839707906,0.609309263,50,7,0,0,8,3
1,53,complex,0.28058923,0.795979721,16,18,0,6,7,9
1,35,simple,0.171641445,0.709603998,7,1,0,1,4,14
1,14,complex,0.632202782,0.565957337,4,1,0,16,8,31
2,57,simple,0.398946085,0.637910697,7,7,0,19,9,18
1,91,complex,0.101473999,0.477840566,28,7,0,7,1,25
1,41,simple,0.240874477,0.860427824,1,20,0,3,7,20
1,65,complex,0.210168165,0.501054323,45,7,0,18,3,49
1,77,simple,0.673294832,0.196050423,11,14,0,9,4,17
2,11,complex,0.827867203,0.310038166,30,22,0,3,0,36
1,93,simple,0.863707694,0.62951931,7,7,0,8,5,28
1,76,complex,0.556717771,0.946100352,0,8,0,21,5,40
1,39,simple,0.295434628,0.844097095,33,19,0,1,2,22
1,38,complex,0.410691708,0.584097283,20,14,0,4,3,3
1,20,simple,0.787707924,0.155052879,13,8,0,5,10,26
1,19,complex,0.974862487,0.474631967,19,21,0,21,3,49
2,60,simple,0.082249607,0.366320941,30,7,0,15,3,43
2,88,complex,0.498007847,0.522474297,46,7,0,28,6,17
2,47,simple,0.007991333,0.814772366,12,23,0,13,6,21
2,26,complex,0.813143533,0.575977997,29,20,0,14,2,50
2,67,simple,0.948959657,0.026403468,36,13,0,14,7,15
1,81,complex,0.229162756,0.241841225,2,20,0,10,9,50
1,52,simple,0.645312558,0.352026325,23,22,0,1,2,48
2,86,complex,0.098327023,0.571032344,46,8,0,10,1,43
1,4,simple,0.630019183,0.407114651,33,14,0,17,2,50
1,25,complex,0.241474368,0.762880587,13,10,0,17,6,46
2,51,simple,0.033948304,0.173321811,14,10,0,13,7,35
1,59,complex,0.651721467,0.244601873,40,6,0,8,4,27
2,80,simple,0.510197154,0.049793955,43,2,0,21,4,40
1,79,complex,0.125193944,0.141484482,12,1,0,28,2,33
2,11,simple,0.694706244,0.882738337,28,5,0,5,5,13
1,15,complex,0.333007286,0.893045798,43,24,0,11,7,40
1,92,simple,0.900091763,0.477260744,32,15,0,23,4,24
1,20,complex,0.058309749,0.094860517,45,3,0,14,0,6
2,17,simple,0.772147051,0.770458549,4,14,0,22,2,21
1,85,complex,0.743421249,0.299013414,25,23,0,17,5,10
2,72,simple,0.766061655,0.783980066,14,9,0,25,8,20
2,34,complex,0.222163796,0.321579226,41,7,0,27,5,44
2,31,simple,0.118419568,0.938733193,15,24,0,19,4,18
2,14,complex,0.459695313,0.86476083,20,19,0,2,9,46
2,77,simple,0.654971255,0.266840497,5,16,0,24,0,42
2,40,complex,0.919372124,0.59980948,4,23,0,10,5,33
2,92,simple,0.7493541,0.903679893,25,4,0,25,9,26
1,89,complex,0.253423146,0.61025302,35,13,0,21,1,3
1,86,simple,0.584784212,0.203796664,44,13,0,18,0,40
1,67,complex,0.953372991,0.39710773,47,1,0,10,3,17
1,36,simple,0.046428734,0.322905709,11,23,0,20,1,26
2,40,complex,0.794115577,0.466425137,30,12,0,26,9,22
1,82,simple,0.691198609,0.667747768,17,22,0,5,6,33
2,16,complex,0.078423246,0.099809152,44,1,0,4,3,34
2,32,simple,0.205775965,0.113050939,11,12,0,8,10,35
1,9,complex,0.410151287,0.632333825,11,25,0,10,10,38
